seed,K,update,eval_return_mean,eval_return_sem,rm_loss,rm_pref_acc
1,50,10,0.975,0.01431195069769,0.003948746714740992,1.0
1,50,20,0.9416666666666667,0.021484908824324633,0.003948746714740992,1.0
1,50,30,0.20833333333333334,0.03722863219470602,0.003948746714740992,1.0
1,50,40,0.1,0.02750095491084634,0.003948746714740992,1.0
1,50,50,0.05,0.01997898055120796,0.003948746714740992,1.0
1,50,60,0.05,0.01997898055120797,0.003948746714740992,1.0
1,50,70,0.041666666666666664,0.0183180481225887,0.003948746714740992,1.0
1,50,80,0.03333333333333333,0.016455241616498053,0.003948746714740992,1.0
1,50,90,0.03333333333333333,0.016455241616498053,0.003948746714740992,1.0
1,50,100,0.008333333333333333,0.008333333333333333,0.003948746714740992,1.0
1,100,0,0.9583333333333334,0.0183180481225887,0.004344204440712929,1.0
1,100,10,0.975,0.01431195069769,0.004344204440712929,1.0
1,100,20,0.9666666666666667,0.016455241616498053,0.004344204440712929,1.0
1,100,30,1.0,0.0,0.004344204440712929,1.0
1,100,40,0.44166666666666665,0.045521924002535574,0.004344204440712929,1.0
1,100,50,0.30833333333333335,0.0423335980053042,0.004344204440712929,1.0
1,100,60,0.21666666666666667,0.03776555522604268,0.004344204440712929,1.0
1,100,70,0.16666666666666666,0.03416333590378282,0.004344204440712929,1.0
1,100,80,0.08333333333333333,0.025336208004377508,0.004344204440712929,1.0
1,100,90,0.15833333333333333,0.03346437826273889,0.004344204440712929,1.0
1,100,100,0.058333333333333334,0.021484908824324633,0.004344204440712929,1.0
1,200,0,0.975,0.01431195069769,0.004196378402411938,1.0
1,200,10,0.9916666666666667,0.008333333333333333,0.004196378402411938,1.0
1,200,20,0.9833333333333333,0.011735491270876319,0.004196378402411938,1.0
1,200,30,0.9833333333333333,0.011735491270876319,0.004196378402411938,1.0
1,200,40,0.15,0.032732683535398856,0.004196378402411938,1.0
1,200,50,0.05,0.01997898055120796,0.004196378402411938,1.0
1,200,60,0.016666666666666666,0.011735491270876315,0.004196378402411938,1.0
1,200,70,0.025,0.01431195069769,0.004196378402411938,1.0
1,200,80,0.06666666666666667,0.02286647801900118,0.004196378402411938,1.0
1,200,90,0.03333333333333333,0.016455241616498053,0.004196378402411938,1.0
1,200,100,0.0,0.0,0.004196378402411938,1.0
1,500,0,0.9666666666666667,0.016455241616498056,0.004311128985136747,1.0
1,500,10,1.0,0.0,0.004311128985136747,1.0
1,500,20,1.0,0.0,0.004311128985136747,1.0
1,500,30,0.9916666666666667,0.008333333333333333,0.004311128985136747,1.0
1,500,40,0.15833333333333333,0.033464378262738896,0.004311128985136747,1.0
1,500,50,0.10833333333333334,0.02849107515015801,0.004311128985136747,1.0
1,500,60,0.23333333333333334,0.03877199986918665,0.004311128985136747,1.0
1,500,70,0.25,0.03969420930187224,0.004311128985136747,1.0
1,500,80,0.14166666666666666,0.03196600376689893,0.004311128985136747,1.0
1,500,90,0.1,0.02750095491084634,0.004311128985136747,1.0
1,500,100,0.14166666666666666,0.031966003766898926,0.004311128985136747,1.0
2,50,0,0.975,0.01431195069769,0.003975259140133858,1.0
2,50,10,0.975,0.01431195069769,0.003975259140133858,1.0
2,50,20,0.975,0.01431195069769,0.003975259140133858,1.0
2,50,30,0.8083333333333333,0.036082370233166836,0.003975259140133858,1.0
2,50,40,0.31666666666666665,0.04264263153554641,0.003975259140133858,1.0
2,50,50,0.25833333333333336,0.040125561565454056,0.003975259140133858,1.0
2,50,60,0.18333333333333332,0.03547069120612851,0.003975259140133858,1.0
2,50,70,0.125,0.030316953129541618,0.003975259140133858,1.0
2,50,80,0.125,0.030316953129541618,0.003975259140133858,1.0
2,50,90,0.075,0.024145044901124343,0.003975259140133858,1.0
2,50,100,0.03333333333333333,0.016455241616498053,0.003975259140133858,1.0
2,100,0,0.9833333333333333,0.011735491270876315,0.00424396013841033,1.0
2,100,10,0.975,0.01431195069769,0.00424396013841033,1.0
2,100,20,0.9666666666666667,0.016455241616498053,0.00424396013841033,1.0
2,100,30,0.8666666666666667,0.03116175682952018,0.00424396013841033,1.0
2,100,40,0.19166666666666668,0.036082370233166836,0.00424396013841033,1.0
2,100,50,0.25833333333333336,0.040125561565454056,0.00424396013841033,1.0
2,100,60,0.24166666666666667,0.03924325011691262,0.00424396013841033,1.0
2,100,70,0.11666666666666667,0.029428100038830653,0.00424396013841033,1.0
2,100,80,0.15833333333333333,0.033464378262738896,0.00424396013841033,1.0
2,100,90,0.09166666666666666,0.026451777733921406,0.00424396013841033,1.0
2,100,100,0.03333333333333333,0.016455241616498053,0.00424396013841033,1.0
2,200,0,0.9833333333333333,0.011735491270876315,0.003920107614248991,1.0
2,200,10,0.9916666666666667,0.008333333333333333,0.003920107614248991,1.0
2,200,20,0.975,0.01431195069769,0.003920107614248991,1.0
