experiment,seed,K,beta,epoch,dpo_eval_loss,preference_accuracy,dpo_margin,stochastic_return_mean,stochastic_return_sem
main,1,500,5.0,40,0.0007068200502544641,1.0,9.396702766418457,0.9833333333333333,0.011735491270876319
main,1,500,5.0,50,0.000556024257093668,1.0,9.540863990783691,1.0,0.0
main,1,500,5.0,60,0.0004917815094813704,1.0,9.612356185913086,1.0,0.0
main,1,500,5.0,70,0.0004536763590294868,1.0,9.656875610351562,1.0,0.0
main,1,500,5.0,80,0.00042542439769022167,1.0,9.691861152648926,0.9916666666666667,0.008333333333333333
main,1,500,5.0,90,0.00040171080036088824,1.0,9.723785400390625,1.0,0.0
main,1,500,5.0,100,0.0003806074382737279,1.0,9.754945755004883,1.0,0.0
main,1,500,5.0,110,0.0003613446024246514,1.0,9.786094665527344,1.0,0.0
main,1,500,5.0,120,0.0003435720282141119,1.0,9.817422866821289,1.0,0.0
main,1,500,5.0,130,0.0003270925662945956,1.0,9.848945617675781,1.0,0.0
main,1,500,5.0,140,0.00031177117489278316,1.0,9.880611419677734,1.0,0.0
main,1,500,5.0,150,0.00029750389512628317,1.0,9.912352561950684,1.0,0.0
main,2,50,5.0,0,0.6931471824645996,0.0,0.0,0.975,0.01431195069769
main,2,50,5.0,10,0.009809552691876888,1.0,5.631278991699219,0.9916666666666667,0.008333333333333333
main,2,50,5.0,20,0.0015619701007381082,1.0,7.912713050842285,1.0,0.0
main,2,50,5.0,30,0.00072627910412848,1.0,8.851874351501465,1.0,0.0
main,2,50,5.0,40,0.0005204689223319292,1.0,9.251662254333496,0.9916666666666667,0.008333333333333333
main,2,50,5.0,50,0.0004453170986380428,1.0,9.431408882141113,0.9833333333333333,0.011735491270876315
main,2,50,5.0,60,0.0004092344897799194,1.0,9.522927284240723,0.9833333333333333,0.011735491270876319
main,2,50,5.0,70,0.00038674278766848147,1.0,9.5800142288208,1.0,0.0
main,2,50,5.0,80,0.00036934405216015875,1.0,9.624151229858398,1.0,0.0
main,2,50,5.0,90,0.0003540319739840925,1.0,9.663671493530273,0.9916666666666667,0.008333333333333333
main,2,50,5.0,100,0.00033974068355746567,1.0,9.701701164245605,1.0,0.0
main,2,50,5.0,110,0.00032611394999548793,1.0,9.739336013793945,0.9916666666666667,0.008333333333333333
main,2,50,5.0,120,0.0003130432451143861,1.0,9.776900291442871,0.9916666666666667,0.008333333333333333
main,2,50,5.0,130,0.00030050243367441,1.0,9.814444541931152,0.9916666666666667,0.008333333333333333
main,2,50,5.0,140,0.0002884891873691231,1.0,9.851920127868652,0.9916666666666667,0.008333333333333333
main,2,50,5.0,150,0.0002770046121440828,1.0,9.889254570007324,1.0,0.0
main,2,100,5.0,0,0.6931471824645996,0.0,0.0,0.9833333333333333,0.011735491270876315
main,2,100,5.0,10,0.009134276770055294,1.0,5.894554138183594,1.0,0.0
main,2,100,5.0,20,0.0014472429174929857,1.0,8.325709342956543,0.9916666666666667,0.008333333333333333
main,2,100,5.0,30,0.000677708419971168,1.0,9.334944725036621,1.0,0.0
main,2,100,5.0,40,0.000486895878566429,1.0,9.763336181640625,1.0,0.0
main,2,100,5.0,50,0.00041657924884930253,1.0,9.953539848327637,1.0,0.0
main,2,100,5.0,60,0.0003824221494141966,1.0,10.04813003540039,0.9916666666666667,0.008333333333333333
main,2,100,5.0,70,0.0003608927072491497,1.0,10.105401039123535,1.0,0.0
main,2,100,5.0,80,0.00034414345282129943,1.0,10.148587226867676,1.0,0.0
main,2,100,5.0,90,0.00032939232187345624,1.0,10.18671703338623,0.9916666666666667,0.008333333333333333
main,2,100,5.0,100,0.0003156567399855703,1.0,10.22317886352539,1.0,0.0
main,2,100,5.0,110,0.0003026046615559608,1.0,10.259161949157715,0.9916666666666667,0.008333333333333333
main,2,100,5.0,120,0.0002901305560953915,1.0,10.29504108428955,0.9916666666666667,0.008333333333333333
main,2,100,5.0,130,0.0002782070660032332,1.0,10.330873489379883,1.0,0.0
main,2,100,5.0,140,0.00026682447060011327,1.0,10.366628646850586,1.0,0.0
main,2,100,5.0,150,0.00025597636704333127,1.0,10.402240753173828,0.9916666666666667,0.008333333333333333
main,2,200,5.0,0,0.6931471824645996,0.0,0.0,0.9833333333333333,0.011735491270876315
main,2,200,5.0,10,0.010033213533461094,1.0,6.128581523895264,0.9916666666666667,0.008333333333333333
main,2,200,5.0,20,0.001639132504351437,1.0,8.51388168334961,1.0,0.0
main,2,200,5.0,30,0.0007461729692295194,1.0,9.480792999267578,1.0,0.0
main,2,200,5.0,40,0.0005230622482486069,1.0,9.884733200073242,0.9833333333333333,0.011735491270876319
main,2,200,5.0,50,0.0004399919416755438,1.0,10.060795783996582,0.9916666666666667,0.008333333333333333
main,2,200,5.0,60,0.00039921639836393297,1.0,10.146177291870117,0.9916666666666667,0.008333333333333333
main,2,200,5.0,70,0.000373595132259652,1.0,10.196533203125,1.0,0.0
main,2,200,5.0,80,0.00035404428490437567,1.0,10.233975410461426,0.9833333333333333,0.011735491270876315
main,2,200,5.0,90,0.0003372871724423021,1.0,10.267069816589355,0.9916666666666667,0.008333333333333333
main,2,200,5.0,100,0.0003221008228138089,1.0,10.299026489257812,1.0,0.0
main,2,200,5.0,110,0.00030800941749475896,1.0,10.330984115600586,0.9916666666666667,0.008333333333333333
main,2,200,5.0,120,0.00029481100500561297,1.0,10.363286018371582,0.9833333333333333,0.011735491270876315
main,2,200,5.0,130,0.00028240247047506273,1.0,10.39599609375,1.0,0.0
main,2,200,5.0,140,0.00027071949443779886,1.0,10.429059982299805,0.9833333333333333,0.011735491270876315
main,2,200,5.0,150,0.0002597083803266287,1.0,10.462407112121582,0.9916666666666667,0.008333333333333333
main,2,500,5.0,0,0.6931472420692444,0.0,0.0,0.9916666666666667,0.008333333333333333
main,2,500,5.0,10,0.012011279352009296,1.0,6.127463340759277,1.0,0.0
